axe,horizon,pointe,n_ouvert,ferme,n_ferme,rouvre
ATLANTIQUE,1,creuse,10406,277,3243,723
ATLANTIQUE,1,pointe,13884,566,5251,770
ATLANTIQUE,2,creuse,10180,530,3406,563
ATLANTIQUE,2,pointe,13271,542,5851,773
ATLANTIQUE,3,creuse,9644,329,4020,621
ATLANTIQUE,3,pointe,12438,501,6840,787
ATLANTIQUE,4,creuse,5373,8,8349,4343
ATLANTIQUE,4,pointe,7374,12,11615,4853
ATLANTIQUE,5,creuse,4950,221,8737,591
ATLANTIQUE,5,pointe,6768,370,11980,793
ATLANTIQUE,6,creuse,4408,231,9164,674
ATLANTIQUE,6,pointe,6264,313,12780,760
ATLANTIQUE,7,creuse,4026,155,9317,633
ATLANTIQUE,7,pointe,6197,503,12906,788
ATLANTIQUE,8,creuse,3665,110,9597,526
ATLANTIQUE,8,pointe,5445,173,13661,916
ATLANTIQUE,9,creuse,3439,146,9744,305
ATLANTIQUE,9,pointe,4979,281,14107,449
ATLANTIQUE,10,creuse,3109,142,10172,364
ATLANTIQUE,10,pointe,4477,349,14758,444
ATLANTIQUE,11,creuse,2903,142,10443,346
ATLANTIQUE,11,pointe,4187,272,14751,385
ATLANTIQUE,12,creuse,2148,52,11165,785
ATLANTIQUE,12,pointe,2574,56,16123,1581
ATLANTIQUE,13,creuse,2049,39,11164,156
ATLANTIQUE,13,pointe,2385,75,16551,196
ATLANTIQUE,14,creuse,2080,48,10947,108
ATLANTIQUE,14,pointe,2486,131,16481,157
ATLANTIQUE,15,creuse,1891,13,11195,246
ATLANTIQUE,15,pointe,2301,89,16654,353
ATLANTIQUE,16,creuse,1822,9,11325,95
ATLANTIQUE,16,pointe,2165,51,16755,102
ATLANTIQUE,17,creuse,1810,46,11575,62
ATLANTIQUE,17,pointe,2082,156,16979,92
ATLANTIQUE,18,creuse,1699,24,11782,89
ATLANTIQUE,18,pointe,2116,78,16602,92
ATLANTIQUE,19,creuse,1669,31,11839,50
ATLANTIQUE,19,pointe,2108,54,16355,67
ATLANTIQUE,20,creuse,1547,13,11884,118
ATLANTIQUE,20,pointe,2118,121,16591,80
ATLANTIQUE,21,creuse,1556,6,11716,42
ATLANTIQUE,21,pointe,2167,51,16587,115
ATLANTIQUE,22,creuse,1487,6,11853,47
ATLANTIQUE,22,pointe,2220,39,16536,52
ATLANTIQUE,23,creuse,1406,6,12002,54
ATLANTIQUE,23,pointe,2130,49,16610,41
ATLANTIQUE,24,creuse,1373,43,12281,38
ATLANTIQUE,24,pointe,2057,128,16836,38
ATLANTIQUE,25,creuse,1241,41,12557,135
ATLANTIQUE,25,pointe,2055,42,16554,42
ATLANTIQUE,26,creuse,1220,46,12611,57
ATLANTIQUE,26,pointe,2131,112,16214,65
ATLANTIQUE,27,creuse,1282,71,12414,22
ATLANTIQUE,27,pointe,2128,127,16486,72
ATLANTIQUE,28,creuse,1325,49,12164,57
ATLANTIQUE,28,pointe,2349,151,16342,55
ATLANTIQUE,29,creuse,1202,12,12260,111
ATLANTIQUE,29,pointe,2527,163,16224,38
ATLANTIQUE,30,creuse,0,0,13432,1104
ATLANTIQUE,30,pointe,0,0,18790,2343
AUTOCAR SNCF,1,creuse,0,0,2812,0
AUTOCAR SNCF,1,pointe,0,0,4240,0
AUTOCAR SNCF,2,creuse,0,0,2820,0
AUTOCAR SNCF,2,pointe,0,0,4246,0
AUTOCAR SNCF,3,creuse,0,0,2835,0
AUTOCAR SNCF,3,pointe,0,0,4251,0
AUTOCAR SNCF,4,creuse,0,0,2862,0
AUTOCAR SNCF,4,pointe,0,0,4244,0
AUTOCAR SNCF,5,creuse,0,0,2846,0
AUTOCAR SNCF,5,pointe,0,0,4197,0
AUTOCAR SNCF,6,creuse,0,0,2847,0
AUTOCAR SNCF,6,pointe,0,0,4202,0
AUTOCAR SNCF,7,creuse,0,0,2878,0
AUTOCAR SNCF,7,pointe,0,0,4248,0
AUTOCAR SNCF,8,creuse,0,0,2880,0
AUTOCAR SNCF,8,pointe,0,0,4248,0
AUTOCAR SNCF,9,creuse,0,0,2884,0
AUTOCAR SNCF,9,pointe,0,0,4254,0
AUTOCAR SNCF,10,creuse,0,0,2895,0
AUTOCAR SNCF,10,pointe,0,0,4259,0
AUTOCAR SNCF,11,creuse,0,0,2920,0
AUTOCAR SNCF,11,pointe,0,0,4252,0
AUTOCAR SNCF,12,creuse,0,0,2898,0
AUTOCAR SNCF,12,pointe,0,0,4199,0
AUTOCAR SNCF,13,creuse,0,0,2887,0
AUTOCAR SNCF,13,pointe,0,0,4204,0
AUTOCAR SNCF,14,creuse,0,0,2912,0
AUTOCAR SNCF,14,pointe,0,0,4256,0
AUTOCAR SNCF,15,creuse,0,0,2902,0
AUTOCAR SNCF,15,pointe,0,0,4262,0
AUTOCAR SNCF,16,creuse,0,0,2894,0
AUTOCAR SNCF,16,pointe,0,0,4274,0
AUTOCAR SNCF,17,creuse,0,0,2893,0
AUTOCAR SNCF,17,pointe,0,0,4285,0
AUTOCAR SNCF,18,creuse,0,0,2913,0
AUTOCAR SNCF,18,pointe,0,0,4272,0
AUTOCAR SNCF,19,creuse,0,0,2884,0
AUTOCAR SNCF,19,pointe,0,0,4221,0
AUTOCAR SNCF,20,creuse,0,0,2866,0
AUTOCAR SNCF,20,pointe,0,0,4237,0
AUTOCAR SNCF,21,creuse,0,0,2888,0
AUTOCAR SNCF,21,pointe,0,0,4301,0
AUTOCAR SNCF,22,creuse,0,0,2883,0
AUTOCAR SNCF,22,pointe,0,0,4325,0
AUTOCAR SNCF,23,creuse,0,0,2884,0
AUTOCAR SNCF,23,pointe,0,0,4343,0
AUTOCAR SNCF,24,creuse,0,0,2898,0
AUTOCAR SNCF,24,pointe,0,0,4358,0
AUTOCAR SNCF,25,creuse,0,0,2919,0
AUTOCAR SNCF,25,pointe,0,0,4346,0
AUTOCAR SNCF,26,creuse,0,0,2898,0
AUTOCAR SNCF,26,pointe,0,0,4300,0
AUTOCAR SNCF,27,creuse,0,0,2880,0
AUTOCAR SNCF,27,pointe,0,0,4311,0
AUTOCAR SNCF,28,creuse,0,0,2906,0
AUTOCAR SNCF,28,pointe,0,0,4375,0
AUTOCAR SNCF,29,creuse,0,0,2913,0
AUTOCAR SNCF,29,pointe,0,0,4393,0
AUTOCAR SNCF,30,creuse,0,0,2920,0
AUTOCAR SNCF,30,pointe,0,0,4399,0
EST,1,creuse,5727,881,6481,497
EST,1,pointe,7405,960,9786,842
EST,2,creuse,5747,806,6467,635
EST,2,pointe,7397,1016,9804,812
EST,3,creuse,5306,414,6877,449
EST,3,pointe,6935,685,10285,612
EST,4,creuse,1938,21,10206,3391
EST,4,pointe,2842,18,14088,3964
EST,5,creuse,1822,214,10386,256
EST,5,pointe,2637,255,14022,292
EST,6,creuse,1823,264,10310,141
EST,6,pointe,2582,316,13963,269
EST,7,creuse,1726,139,10239,283
EST,7,pointe,2579,177,13817,277
EST,8,creuse,1621,101,10294,240
EST,8,pointe,2457,176,13831,268
EST,9,creuse,1543,143,10369,160
EST,9,pointe,2394,205,13863,152
EST,10,creuse,1390,122,10556,180
EST,10,pointe,2046,136,14285,301
EST,11,creuse,1378,139,10600,117
EST,11,pointe,2065,195,14269,165
EST,12,creuse,653,20,11386,732
EST,12,pointe,1014,0,15254,1030
EST,13,creuse,606,56,11366,116
EST,13,pointe,1001,57,15170,82
EST,14,creuse,621,45,11184,75
EST,14,pointe,970,22,15051,92
EST,15,creuse,567,20,11183,75
EST,15,pointe,881,22,15029,119
EST,16,creuse,528,30,11214,28
EST,16,pointe,865,47,15011,48
EST,17,creuse,494,11,11283,42
EST,17,pointe,804,36,15145,60
EST,18,creuse,381,18,11433,83
EST,18,pointe,780,28,15168,51
EST,19,creuse,351,34,11643,34
EST,19,pointe,698,5,15342,70
EST,20,creuse,305,2,11736,57
EST,20,pointe,721,41,15600,55
EST,21,creuse,296,14,11592,31
EST,21,pointe,726,14,15673,50
EST,22,creuse,310,33,11565,7
EST,22,pointe,715,36,15678,59
EST,23,creuse,326,12,11550,37
EST,23,pointe,658,10,15730,66
EST,24,creuse,276,26,11646,78
EST,24,pointe,585,27,15936,78
EST,25,creuse,236,8,11649,33
EST,25,pointe,564,17,15872,31
EST,26,creuse,209,29,11671,34
EST,26,pointe,510,23,15838,62
EST,27,creuse,223,36,11628,21
EST,27,pointe,492,16,15841,38
EST,28,creuse,199,13,11497,66
EST,28,pointe,542,37,15661,60
EST,29,creuse,162,7,11516,34
EST,29,pointe,527,1,15658,30
EST,30,creuse,0,0,11674,156
EST,30,pointe,0,0,16169,534
IC ARO,1,creuse,7990,381,4413,802
IC ARO,1,pointe,9777,435,5246,1020
IC ARO,2,creuse,6721,164,5919,1702
IC ARO,2,pointe,8330,504,6639,1772
IC ARO,3,creuse,6422,598,6229,551
IC ARO,3,pointe,7618,487,7308,819
IC ARO,4,creuse,2849,33,9763,3490
IC ARO,4,pointe,4568,90,10289,2949
IC ARO,5,creuse,2625,125,9927,302
IC ARO,5,pointe,4420,168,10242,220
IC ARO,6,creuse,3060,112,9522,141
IC ARO,6,pointe,4953,200,9739,141
IC ARO,7,creuse,3610,61,9002,206
IC ARO,7,pointe,5715,203,9109,231
IC ARO,8,creuse,4129,68,8480,172
IC ARO,8,pointe,6267,152,8512,188
IC ARO,9,creuse,4702,133,7916,87
IC ARO,9,pointe,6556,115,8190,208
IC ARO,10,creuse,4734,113,7862,204
IC ARO,10,pointe,6673,212,8116,172
IC ARO,11,creuse,5311,197,7212,48
IC ARO,11,pointe,7130,187,7524,122
IC ARO,12,creuse,4025,8,8454,1525
IC ARO,12,pointe,5999,62,8447,1349
IC ARO,13,creuse,4216,151,8264,248
IC ARO,13,pointe,6370,196,8105,260
IC ARO,14,creuse,4887,86,7618,124
IC ARO,14,pointe,7141,185,7471,209
IC ARO,15,creuse,5426,67,7059,184
IC ARO,15,pointe,7696,212,6906,246
IC ARO,16,creuse,6142,233,6333,15
IC ARO,16,pointe,8408,322,6198,20
IC ARO,17,creuse,5954,72,6539,31
IC ARO,17,pointe,8181,91,6485,68
IC ARO,18,creuse,6524,165,5938,7
IC ARO,18,pointe,8537,140,6081,41
IC ARO,19,creuse,6268,118,6160,426
IC ARO,19,pointe,8558,162,5919,122
IC ARO,20,creuse,6376,85,6086,262
IC ARO,20,pointe,8602,298,5901,390
IC ARO,21,creuse,7091,226,5401,106
IC ARO,21,pointe,9453,230,5182,122
IC ARO,22,creuse,7477,91,5019,106
IC ARO,22,pointe,9674,222,4957,110
IC ARO,23,creuse,7665,207,4843,61
IC ARO,23,pointe,9699,199,4944,114
IC ARO,24,creuse,7291,91,5250,97
IC ARO,24,pointe,9345,178,5358,136
IC ARO,25,creuse,7415,61,5080,65
IC ARO,25,pointe,9477,201,5188,152
IC ARO,26,creuse,7366,191,5137,330
IC ARO,26,pointe,9105,263,5352,387
IC ARO,27,creuse,7102,140,5437,297
IC ARO,27,pointe,8973,282,5572,246
IC ARO,28,creuse,7342,71,5176,218
IC ARO,28,pointe,9671,260,5017,145
IC ARO,29,creuse,7582,183,4933,129
IC ARO,29,pointe,9812,202,4873,258
IC ARO,30,creuse,184,0,12314,7280
IC ARO,30,pointe,0,0,14690,9602
IC NUIT,1,creuse,364,12,912,512
IC NUIT,1,pointe,328,6,1040,461
IC NUIT,2,creuse,364,33,984,47
IC NUIT,2,pointe,318,6,1021,6
IC NUIT,3,creuse,291,6,1073,39
IC NUIT,3,pointe,276,0,1030,6
IC NUIT,4,creuse,205,0,1176,47
IC NUIT,4,pointe,216,0,1041,30
IC NUIT,5,creuse,217,34,1187,22
IC NUIT,5,pointe,209,10,992,17
IC NUIT,6,creuse,227,17,1153,35
IC NUIT,6,pointe,213,13,983,16
IC NUIT,7,creuse,245,6,1122,23
IC NUIT,7,pointe,244,7,977,13
IC NUIT,8,creuse,225,12,1133,33
IC NUIT,8,pointe,259,10,942,6
IC NUIT,9,creuse,187,7,1166,18
IC NUIT,9,pointe,242,6,933,10
IC NUIT,10,creuse,185,22,1184,6
IC NUIT,10,pointe,204,0,945,9
IC NUIT,11,creuse,179,6,1118,1
IC NUIT,11,pointe,191,7,869,6
IC NUIT,12,creuse,107,0,1166,72
IC NUIT,12,pointe,121,0,882,70
IC NUIT,13,creuse,108,7,1113,22
IC NUIT,13,pointe,134,6,844,0
IC NUIT,14,creuse,101,0,1068,23
IC NUIT,14,pointe,142,0,784,6
IC NUIT,15,creuse,86,1,1046,22
IC NUIT,15,pointe,163,6,723,0
IC NUIT,16,creuse,53,0,1046,28
IC NUIT,16,pointe,137,0,703,20
IC NUIT,17,creuse,80,39,1035,0
