horizon,anciennete,bascules,n_ouvert,ferme,n_ferme,rouvre
1,1j,inconnu,5972,2129,3847,1041
1,1j,jamais,0,0,1,1
1,2-3j,agitee,1,0,0,0
1,2-3j,inconnu,21116,2320,1986,408
1,4-7j,inconnu,5711,104,325,39
1,4-7j,quelques,0,0,1,0
1,8-15j,inconnu,2928,28,80,5
1,8-15j,jamais,0,0,25,0
1,8-15j,une,0,0,1,0
1,inconnue,inconnu,28900,1439,123095,4154
2,1j,agitee,1,0,0,0
2,1j,inconnu,5853,1563,3518,1381
2,2-3j,inconnu,24356,1895,188,73
2,2-3j,jamais,9,0,0,0
2,4-7j,inconnu,4406,24,347,46
2,4-7j,jamais,0,0,8,0
2,4-7j,quelques,0,0,1,0
2,4-7j,une,0,0,1,0
2,8-15j,inconnu,3565,82,79,26
2,8-15j,jamais,0,0,17,0
2,inconnue,inconnu,25811,652,125959,4716
3,1j,inconnu,26471,3084,434,308
3,1j,jamais,9,0,0,0
3,1j,une,2,0,0,0
3,2-3j,inconnu,5918,86,306,141
3,2-3j,jamais,13,0,0,0
3,4-7j,inconnu,3767,8,409,125
3,4-7j,jamais,0,0,25,0
3,4-7j,quelques,0,0,2,1
3,4-7j,une,0,0,1,0
3,8-15j,inconnu,4232,11,81,23
3,inconnue,inconnu,22637,482,128838,5482
4,1j,inconnu,4408,224,2270,2111
4,1j,jamais,13,0,2,2
4,2-3j,inconnu,4731,67,1936,1607
4,2-3j,jamais,18,0,0,0
4,2-3j,quelques,0,0,2,0
4,4-7j,inconnu,3087,9,1567,1211
4,4-7j,jamais,0,0,25,0
4,4-7j,une,0,0,1,0
4,8-15j,inconnu,4936,50,28,12
4,inconnue,inconnu,18735,87,150175,23806
5,1j,inconnu,4062,911,1874,628
5,1j,jamais,18,0,0,0
5,2-3j,inconnu,3788,547,1991,464
5,2-3j,quelques,0,0,2,0
5,4-7j,inconnu,6563,369,1436,191
5,4-7j,jamais,0,0,25,0
5,4-7j,une,0,0,1,0
5,8-15j,inconnu,1820,47,25,0
5,8-15j,jamais,0,0,1,0
5,inconnue,inconnu,18180,492,151154,3491
6,1j,inconnu,3483,836,2179,737
6,1j,quelques,0,0,2,0
6,2-3j,inconnu,3165,356,2220,473
6,2-3j,jamais,0,0,8,0
6,2-3j,une,0,0,1,0
6,4-7j,inconnu,7278,364,1099,142
6,4-7j,jamais,0,0,17,0
6,8-15j,inconnu,1652,79,38,5
6,8-15j,jamais,0,0,1,0
6,inconnue,inconnu,17759,424,150436,3029
7,1j,inconnu,2887,913,1841,674
7,1j,quelques,2,2,0,0
7,1j,une,3,0,0,0
7,2-3j,inconnu,2690,404,2197,385
7,2-3j,jamais,0,0,28,0
7,2-3j,une,0,0,1,0
7,4-7j,inconnu,8059,524,733,180
7,8-15j,inconnu,1223,0,51,2
7,8-15j,jamais,0,0,1,0
7,inconnue,inconnu,17109,435,151656,2467
8,1j,inconnu,2348,618,1970,563
8,1j,jamais,0,0,8,0
8,1j,une,0,0,3,2
8,2-3j,inconnu,2601,334,2063,408
8,2-3j,jamais,0,0,23,3
8,4-7j,inconnu,8785,452,85,6
8,4-7j,jamais,0,0,1,0
8,8-15j,inconnu,867,16,58,7
8,inconnue,inconnu,16776,456,151642,2167
9,1j,inconnu,2356,817,1829,497
9,1j,jamais,3,3,23,0
9,2-3j,inconnu,9894,1084,1481,387
9,2-3j,jamais,7,0,2,2
9,4-7j,inconnu,3037,49,88,4
9,4-7j,jamais,0,0,1,0
9,8-15j,inconnu,698,23,34,1
9,inconnue,inconnu,15798,264,150728,1711
10,1j,inconnu,2567,759,2098,586
10,1j,jamais,7,0,2,0
10,1j,une,3,0,0,0
10,2-3j,inconnu,11514,996,197,95
10,2-3j,jamais,10,0,2,0
10,4-7j,inconnu,2347,65,103,23
10,4-7j,jamais,0,0,1,0
10,8-15j,inconnu,819,38,30,2
10,inconnue,inconnu,15023,162,149910,1833
11,1j,inconnu,13062,1992,304,135
11,1j,jamais,10,0,5,3
11,1j,une,3,2,0,0
11,2-3j,inconnu,2281,51,176,57
11,2-3j,jamais,7,0,8,1
11,4-7j,inconnu,1956,15,128,34
11,4-7j,jamais,0,0,1,0
11,8-15j,inconnu,618,6,59,5
11,inconnue,inconnu,14329,176,150320,2499
12,1j,inconnu,1514,31,706,575
12,1j,jamais,7,0,11,3
12,2-3j,inconnu,1955,70,920,822
12,2-3j,jamais,0,0,22,0
12,4-7j,inconnu,1368,42,581,457
12,8-15j,inconnu,674,114,367,286
12,inconnue,inconnu,13380,50,160648,11494
13,1j,inconnu,1271,262,842,270
13,1j,jamais,0,0,21,0
13,2-3j,inconnu,1794,153,790,81
13,2-3j,jamais,0,0,1,0
13,4-7j,inconnu,959,15,634,75
13,8-15j,inconnu,760,6,292,6
13,inconnue,inconnu,13559,342,159065,1142
14,1j,inconnu,1492,394,568,108
14,1j,jamais,0,0,1,0
14,2-3j,inconnu,1184,119,663,93
14,4-7j,inconnu,965,18,674,108
14,8-15j,inconnu,674,35,311,11
14,8-15j,une,0,0,6,0
14,inconnue,inconnu,13206,310,159299,976
15,1j,inconnu,1018,160,567,161
15,2-3j,inconnu,946,115,559,62
15,4-7j,inconnu,850,20,740,50
15,8-15j,inconnu,538,0,330,31
15,8-15j,une,0,0,6,0
15,inconnue,inconnu,13193,300,160010,1233
16,1j,inconnu,797,342,569,129
16,2-3j,inconnu,866,44,778,94
16,2-3j,jamais,6,0,3,0
16,4-7j,inconnu,896,7,739,65
16,8-15j,inconnu,516,1,189,4
16,8-15j,une,0,0,6,0
16,inconnue,inconnu,12775,194,160348,764
17,1j,inconnu,712,165,454,126
17,1j,jamais,6,0,3,0
17,1j,quelques,0,0,113,3
17,1j,une,2,2,0,0
17,2-3j,agitee,9,0,6,0
17,2-3j,inconnu,628,85,789,50
17,2-3j,jamais,13,0,2,0
17,2-3j,quelques,70,21,139,3
17,2-3j,une,30,0,0,0
17,4-7j,agitee,0,0,11,0
17,4-7j,inconnu,778,30,584,54
17,4-7j,quelques,49,0,57,10
17,4-7j,une,53,0,6,0
17,8-15j,inconnu,441,1,109,0
17,8-15j,jamais,7,0,10029,15
17,8-15j,quelques,0,0,17,0
17,8-15j,une,1613,1,0,0
17,inconnue,inconnu,10960,288,150475,567
18,1j,agitee,3,0,20,14
18,1j,inconnu,384,50,553,71
18,1j,jamais,13,0,2,0
18,1j,quelques,57,0,151,1
18,1j,une,36,4,3,0
18,2-3j,agitee,9,0,20,0
18,2-3j,inconnu,633,51,694,184
18,2-3j,jamais,0,0,14,1
18,2-3j,quelques,54,0,180,0
18,2-3j,une,150,27,0,0
18,4-7j,agitee,0,0,54,0
18,4-7j,inconnu,728,45,476,64
18,4-7j,quelques,19,0,122,23
18,4-7j,une,104,0,6,0
18,8-15j,inconnu,252,4,84,6
18,8-15j,jamais,20,0,20689,22
18,8-15j,quelques,15,0,88,0
18,8-15j,une,2639,83,0,0
18,inconnue,inconnu,9882,304,139601,387
19,1j,agitee,9,0,25,6
19,1j,inconnu,449,140,477,41
19,1j,jamais,3,3,15,1
19,1j,quelques,17,0,172,58
19,1j,une,105,9,0,0
19,2-3j,agitee,0,0,35,0
19,2-3j,inconnu,678,101,445,37
19,2-3j,quelques,68,20,166,1
19,2-3j,une,250,21,0,0
19,4-7j,agitee,0,0,43,0
19,4-7j,inconnu,554,31,356,17
19,4-7j,quelques,10,1,103,20
19,4-7j,une,203,10,6,0
19,8-15j,inconnu,248,44,72,1
19,8-15j,jamais,26,0,32960,67
19,8-15j,quelques,18,0,129,0
19,8-15j,une,3104,140,0,0
19,inconnue,inconnu,9405,237,126998,288
20,1j,agitee,38,15,16,9
20,1j,inconnu,598,179,417,155
20,1j,quelques,62,3,129,13
20,1j,une,231,60,0,0
20,2-3j,agitee,0,0,87,0
20,2-3j,inconnu,479,22,459,60
20,2-3j,quelques,74,3,290,16
20,2-3j,une,163,0,0,0
20,4-7j,agitee,0,0,41,0
20,4-7j,inconnu,510,58,186,7
20,4-7j,quelques,41,5,167,7
20,4-7j,une,220,3,6,0
20,8-15j,inconnu,155,3,33,0
20,8-15j,jamais,41,0,42793,113
20,8-15j,quelques,51,0,84,0
20,8-15j,une,4161,116,7,0
20,inconnue,inconnu,8643,215,115480,227
