train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
105241,FRAFW,FRXSH,bascule,0,0,1,0
105241,FRAFW,FRXSH,derniers_jours,0,0,8,0
105241,FRAFW,FRXSH,imminent,0,0,10,0
105241,FRAFW,FRXSH,moyen,0,0,10,0
105241,FRAFW,FRXSH,proche,0,0,25,0
105342,FRXSH,FRAFW,bascule,0,0,3,0
105342,FRXSH,FRAFW,derniers_jours,0,0,9,0
105342,FRXSH,FRAFW,imminent,0,0,14,0
105342,FRXSH,FRAFW,intervalle,0,0,9,0
105342,FRXSH,FRAFW,lointain,0,0,45,0
105342,FRXSH,FRAFW,moyen,0,0,27,0
105342,FRXSH,FRAFW,ouverture,0,0,4,0
105342,FRXSH,FRAFW,plateau,0,0,19,0
105342,FRXSH,FRAFW,proche,0,0,35,0
105342,FRXSH,FRAFW,relance,0,0,2,0
105347,FRXSH,FRAFW,bascule,0,0,1,0
105347,FRXSH,FRAFW,derniers_jours,0,0,8,0
105347,FRXSH,FRAFW,imminent,0,0,10,0
105347,FRXSH,FRAFW,intervalle,0,0,15,0
105347,FRXSH,FRAFW,lointain,0,0,75,0
105347,FRXSH,FRAFW,moyen,0,0,35,0
105347,FRXSH,FRAFW,ouverture,0,0,8,0
105347,FRXSH,FRAFW,plateau,0,0,38,0
105347,FRXSH,FRAFW,proche,0,0,25,0
105347,FRXSH,FRAFW,relance,0,0,1,0
105350,FRXSH,FRAFW,imminent,0,0,2,0
105350,FRXSH,FRAFW,intervalle,0,0,3,0
105350,FRXSH,FRAFW,lointain,0,0,15,0
105350,FRXSH,FRAFW,moyen,0,0,7,0
105350,FRXSH,FRAFW,ouverture,0,0,1,0
105350,FRXSH,FRAFW,plateau,0,0,8,0
105350,FRXSH,FRAFW,proche,0,0,5,0
105350,FRXSH,FRAFW,relance,0,0,1,0
105362,FRXSH,FRAFW,bascule,0,0,1,0
105362,FRXSH,FRAFW,derniers_jours,0,0,8,0
105362,FRXSH,FRAFW,imminent,0,0,10,0
105362,FRXSH,FRAFW,intervalle,0,0,15,0
105362,FRXSH,FRAFW,lointain,0,0,75,0
105362,FRXSH,FRAFW,moyen,0,0,35,0
105362,FRXSH,FRAFW,ouverture,0,0,8,0
105362,FRXSH,FRAFW,plateau,0,0,38,0
105362,FRXSH,FRAFW,proche,0,0,25,0
105362,FRXSH,FRAFW,relance,0,0,1,0
105375,FRXSH,FRAFW,bascule,0,0,3,0
105375,FRXSH,FRAFW,derniers_jours,0,0,9,0
105375,FRXSH,FRAFW,imminent,0,0,14,0
105375,FRXSH,FRAFW,intervalle,0,0,21,0
