snapshot,sujets,ouverts,ecart_jours,communs,ferme,rouvre,nouveaux,disparus,censures,doublons,conflits,heures_divergentes,services,secondes,note
2026-08-17,412573,52581,0,,,,,,,779,759,20,20594,28.3,"rejoué, ignoré"
2026-08-18,410812,55669,1,398565,2572,9456,12247,14008,386344,827,807,20,20604,24.9,
2026-08-19,410124,55466,1,397107,3325,8341,13017,13705,363339,725,705,20,20614,31.0,
2026-08-20,407713,53892,1,396450,3048,6919,11263,13674,343043,642,622,20,20658,28.4,
2026-08-21,406594,54429,1,394126,2869,8596,12468,13587,325240,697,673,24,20672,28.7,
2026-08-22,404094,55669,1,392000,2473,8301,12094,14594,308364,767,742,25,20681,29.7,
2026-08-23,401926,56964,1,389881,2649,8077,12045,14213,291413,849,828,21,20681,26.6,
2026-08-24,399751,60331,1,387692,1648,8165,12059,14234,274664,947,927,20,20681,27.2,
2026-08-25,398046,62226,1,385801,2053,8520,12245,13950,260162,822,802,20,20681,29.6,
2026-08-26,397356,63116,1,384254,3316,9549,13102,13792,245482,742,722,20,20687,29.5,
2026-08-27,395349,61610,1,383497,4171,7823,11852,13859,229921,710,690,20,20818,27.0,
2026-08-28,393407,63413,1,380838,3621,9849,12569,14511,214445,693,673,20,20860,27.6,
2026-08-29,390780,65479,1,378528,3780,9793,12252,14879,198815,731,710,21,20867,28.2,
2026-08-30,388463,65078,1,376364,2954,8020,12099,14416,182958,779,762,17,20867,24.5,
